symbol,address,price_usd,multiplier,phantom_raw,graduation_raw
PWR,0x9Ab02Ead789b6903c3c44d0ED32F9c707CDF12FD,619.28,1,6459114000000000000,16147785000000000000
F,0x25C288E6D899b9BC30160965aD9644c67e73bE0C,13.35,1.0001455028661341,299581878000000000000,748954695000000000000
ZS,0x7dc013eB55e436f30d7ED1AFE4E36d6e45e3c3f7,191.58,1,20879006000000000000,52197515000000000000
COIN,0x6330D8C3178a418788dF01a47479c0ce7CCF450b,164.51,1,24314631000000000000,60786578000000000000
XOM,0xf9B46d3D1B22199D4D1025a9cEDB540A33F1a2d5,163.32,1.0010395637646619,24466361000000000000,61165902000000000000
NBIS,0x9D9c6684F596F66a64C030B93A886D51Fd4D7931,209.37,1,19104934000000000000,47762335000000000000
SHY,0xBE274710Bf3d9567e1B290eF6a5F9f90ca016FD8,81.24,1,49236829000000000000,123092073000000000000
SMR,0x1Eebee7F74517e0279dFb09d25B0407bEEc3FDd6,8.3,1,481927711000000000000,1204819277000000000000
SOUN,0x6E3Dfd9f7e1649BaA14D25cac18C94d62dB10A54,5.93,1,674536256000000000000,1686340641000000000000
POET,0xcf6B2D875361be807EAfa57458c80f28521F9333,7.4,1,540540541000000000000,1351351351000000000000
APP,0xA249BAF1063Af884807C1E1400AEf7784836917E,326.56,1,12248898000000000000,30622244000000000000
AAOI,0x521Cf887E6531c6F667b5BC4D896E5d9bfE8EB2E,96.74,1,41347943000000000000,103369857000000000000
LITE,0x8eF20885F94e3D9bc7eB3080279188Bd5ED7c08C,919.4,1,4350663000000000000,10876659000000000000
AEIS,0xfAf9cb261B5FCC1f404Bb10CD39C5c6C1974E612,252.22,1,15859171000000000000,39647926000000000000
KTOS,0x7FD06a4d81cCfA3F351394E144d5191874C31313,47.59,1,84051271000000000000,210128178000000000000
AMAT,0x36046893810a7E7fCE501229d57dc3FC8c8716d0,415.38,1.0000446563026366,9629307000000000000,24073267000000000000
MRVL,0x62fd0668e10D8B72339BE2DCF7643001688ff13B,229.71,1,17413260000000000000,43533150000000000000
JBL,0xEAf2512dFC1bEAc608F8794B3793CD4E02894Aa6,297.24,1,13457139000000000000,33642848000000000000
LLY,0x8005d266423c7ea827372c9c864491e5786600ea,1137.82,1.0000022887743756,3515486000000000000,8788716000000000000
QCOM,0x0f17206447090e464C277571124dD2688E48AEA9,184.84,1,21640338000000000000,54100844000000000000
JNJ,0x03DfbBE0AC4E7bCDaFd08eD41A400326B77D8c80,267.28,1.000021490286702,14965258000000000000,37413144000000000000
KSS,0x12e3c047bf9AeCAF9dDC98c05C31BFD1dd043993,16.46,1.0046100687323167,241898198000000000000,604745496000000000000
ANET,0x28bABD556b60E53663B8615036479a29c2CDd1Bf,197.54,1,20249063000000000000,50622659000000000000
CTSH,0x63D5a3b6939a33f1e75d8Bcd85759858239600DB,61.85,1,64672595000000000000,161681487000000000000
PL,0xAA4d64474c172010aB57719cb9951E6142a100d3,16.02,1,249687890000000000000,624219725000000000000
IONQ,0x558378E000D634A36593E338eBacdd6207640EfE,36.84,1,108577633000000000000,271444083000000000000
TE,0xb1969f6604CA1AE7a2cD3F1827876e914594CA2D,4.09,1,977995110000000000000,2444987775000000000000
SHOP,0xF53F66751B1Eff985311b693531E3290F600c410,129.96,1,30778701000000000000,76946753000000000000
NVTS,0xbE6702d7b70315376dC48a3293f24f0982F86386,10.48,1,381679389000000000000,954198473000000000000
PATH,0xfb2664f07B6Aadd29ea7a59D8859b1AeB8645cDa,13.63,1,293470286000000000000,733675715000000000000
UMC,0x0E6e67Ba88e7b5d9B67636A215c76779B948dE79,22.53,1,177541056000000000000,443852641000000000000
ORCL,0xb0992820E760d836549ba69BC7598b4af75dEE03,143.16,1.0022109149710134,27879127000000000000,69697818000000000000
COHR,0x92F9F459F1a9a5AD266b182BE7Bffd1C6c666894,289.93,1,13796434000000000000,34491084000000000000
GEV,0x94B8AAE43A1cCc08Aa64B7D1F29b4D920aF4a0C9,925.09,1,4323904000000000000,10809759000000000000
AUR,0x373C06c4f7BDe527D7Dae4BA169E42b55E393CeD,6.36,1,628930818000000000000,1572327044000000000000
IBM,0x980dcf6766FA79f5Cf0c4AAdb3ab477ff15a9619,237.49,1,16842814000000000000,42107036000000000000
NAVN,0xf7181b63Fdb858558A74ba96BC42732684cd7965,22.53,1,177541056000000000000,443852641000000000000
INOD,0xf1953DAB6FaD537488d5A022361FfAa8B4c95eC6,55.41,1,72189136000000000000,180472839000000000000
AAPL,0xaF3D76f1834A1d425780943C99Ea8A608f8a93f9,332.41,1.0005660800610925,12026524000000000000,30066311000000000000
AMC,0x05a3d1Cd21d0C88145E82600E62e7E496e0F222B,2.66,1,1503759398000000000000,3759398496000000000000
RIVN,0xB1BF26c1D20ff267A4f93550d1E0d06ac40a114B,15.23,1,262639527000000000000,656598818000000000000
GME,0x1b0E319c6A659F002271B69dB8A7df2F911c153E,21.98,1,181983621000000000000,454959054000000000000
MPWR,0x52D50D0280AD1054b43f052bD70a49a212A1b128,1147.61,1,3485505000000000000,8713762000000000000
PENG,0x9b23573b156B52565012F5cE02CDF60AFBaa70Be,48.24,1,82918740000000000000,207296849000000000000
NET,0x116F00968269B7bfbaD4109cE591d6E74c0601d4,324.65,1,12320961000000000000,30802403000000000000
SCHD,0xd63ABB2C13d7a8421a8017a712802053568e3C1D,33.84,1,118203310000000000000,295508274000000000000
LUNR,0xa5D4968421bA94814Be3B136b15cf422101aC1a3,13.87,1,288392213000000000000,720980534000000000000
MSTR,0xec262a75e413fAfD0dF80480274532C79D42da09,126.18,1,31700745000000000000,79251862000000000000
ABCL,0x3139D77Ace0cbAA5bDfD38bD1F1911a794AF0B0e,11.67,1,342759212000000000000,856898029000000000000
AXON,0xC27dBD474aF5181c5A8777903690D8D262D12648,468.42,1,8539345000000000000,21348363000000000000
